time,siteID,statistic,forecast,data_assimilation,oxygen,temp
2021-05-01,BARC,mean,1,0,7.506786306339905,22.479876095995454
2021-05-02,BARC,mean,1,0,7.468768183146116,22.483381945991912
2021-05-03,BARC,mean,1,0,7.459847207947598,22.486808127614697
2021-05-04,BARC,mean,1,0,7.436498705674805,22.489741653219426
2021-05-05,BARC,mean,1,0,7.417400827705895,22.491693967761854
2021-05-06,BARC,mean,1,0,7.408922054049815,22.49322395727453
2021-05-07,BARC,mean,1,0,7.415763294613886,22.494077791758887
2021-05-01,BARC,sd,1,0,0.5249220266067638,0.040506444341045576
2021-05-02,BARC,sd,1,0,0.648985444255996,0.03401717850047617
2021-05-03,BARC,sd,1,0,0.6901875829239177,0.03161595857513711
2021-05-04,BARC,sd,1,0,0.733504359346373,0.028992838641827643
2021-05-05,BARC,sd,1,0,0.7598688859678786,0.027446276926894317
2021-05-06,BARC,sd,1,0,0.7787006634669738,0.02488951410772834
2021-05-07,BARC,sd,1,0,0.7930094935274316,0.023364168157675544
