"","month","day","year","uPARMean","groundwaterTempMean","dissolvedOxygen","chlorophyll"
"1",5,1,2021,306.443819444444,22.5093154761904,7.49211805555555,2.43673611111111
"2",5,2,2021,161.147638888889,22.5033035714286,7.41833333333333,2.48315972222222
"3",5,3,2021,272.233333333333,22.5053802816901,7.31281250000001,2.57440972222222
"4",5,4,2021,284.024444444444,22.5052864583333,7.37451388888888,2.70135416666667
"5",5,5,2021,324.615454545455,22.5006770833333,7.38665480427048,2.21380782918149
"6",5,6,2021,182.683263888889,22.4971875,7.32569444444444,2.430625
"7",5,7,2021,353.923819444445,22.4949739583333,7.20184027777778,2.84322916666666
"8",5,8,2021,349.173958333333,22.49046875,7.08534722222222,3.10086805555556
"9",5,9,2021,330.122291666667,22.4852604166667,7.09170138888888,3.31121527777778
"10",5,10,2021,206.475416666667,22.4821614583334,7.24722807017545,3.52687719298246
"11",5,11,2021,143.091736111111,22.4780208333333,7.16725694444445,3.92190972222222
"12",5,12,2021,273.64625,22.476171875,7.11447916666668,3.05190972222222
"13",5,13,2021,69.7279166666666,22.4717708333334,7.07444444444444,3.47413194444445
"14",5,15,2021,254.948819444445,22.5758333333333,6.90368055555556,3.091875
"15",5,16,2021,253.748055555556,22.5733035714286,7.0721875,2.76496527777778
"16",5,17,2021,260.711388888889,22.5708630952382,7.24461805555556,2.35979166666667
"17",5,18,2021,279.163611111111,22.5699404761906,7.39017361111111,2.1065625
"18",5,19,2021,190.740763888889,22.5682440476191,7.37975694444444,2.13090277777778
"19",5,20,2021,271.212797202797,22.5660416666667,7.40345588235295,2.07150735294118
"20",5,21,2021,226.944513888889,22.5645238095238,7.49746527777777,1.81857638888889
"21",5,22,2021,347.565138888889,22.5628869047619,7.47989583333333,1.70548611111111
"22",5,23,2021,331.291388888889,22.5611309523809,7.54711805555555,1.68645833333333
"23",5,24,2021,344.369722222222,22.5595833333333,7.53531249999999,1.46663194444445
"24",5,25,2021,341.493402777778,22.5579464285714,7.52729166666667,1.62027777777778
"25",5,26,2021,329.566643356643,22.5572321428571,7.53805555555555,1.32548611111111
"26",5,27,2021,295.937479674797,22.5558333333334,7.49640186915888,1.97738317757009
"27",5,28,2021,309.897986111111,22.5541666666667,7.5207986111111,2.00819444444444
"28",5,29,2021,293.334652777778,22.5545238095239,7.40534722222222,2.05680555555555
