time,siteID,statistic,forecast,data_assimilation,oxygen,temp
2021-06-01,POSE,mean,1,0,9.439249578816812,11.39506324450854
2021-06-02,POSE,mean,1,0,9.409752938753368,11.474662085943889
2021-06-03,POSE,mean,1,0,9.334549369620225,11.529130062129093
2021-06-04,POSE,mean,1,0,9.21544975384004,11.737127483128702
2021-06-05,POSE,mean,1,0,9.128233205983681,11.71905890009365
2021-06-06,POSE,mean,1,0,9.031802604622245,12.08113120096818
2021-06-07,POSE,mean,1,0,9.098534214086065,12.073873644470462
2021-06-01,POSE,sd,1,0,0.3604184811932393,0.3523297589127669
2021-06-02,POSE,sd,1,0,0.39921158793328876,0.41270442942451174
2021-06-03,POSE,sd,1,0,0.3967107594882947,0.383870709462214
2021-06-04,POSE,sd,1,0,0.3401474155626848,0.4039954358459335
2021-06-05,POSE,sd,1,0,0.3532114554662005,0.33552315621642653
2021-06-06,POSE,sd,1,0,0.35253292668753866,0.3919471992100646
2021-06-07,POSE,sd,1,0,0.4150183808972092,0.37875208156950246
