time,siteID,statistic,forecast,data_assimilation,oxygen,temp
2021-05-01,BARC,mean,1,0,7.506786306339905,22.47987609599545
2021-05-02,BARC,mean,1,0,7.468768183146116,22.483381945991912
2021-05-03,BARC,mean,1,0,7.459847207947598,22.486808127614697
2021-05-04,BARC,mean,1,0,7.436498705674805,22.489741653219426
2021-05-05,BARC,mean,1,0,7.417400827705895,22.49169396776185
2021-05-06,BARC,mean,1,0,7.408922054049815,22.49322395727453
2021-05-07,BARC,mean,1,0,7.415763294613886,22.494077791758887
2021-05-01,BARC,sd,1,0,0.5249220266067638,0.0405064443410455
2021-05-02,BARC,sd,1,0,0.648985444255996,0.0340171785004761
2021-05-03,BARC,sd,1,0,0.6901875829239177,0.0316159585751371
2021-05-04,BARC,sd,1,0,0.733504359346373,0.0289928386418276
2021-05-05,BARC,sd,1,0,0.7598688859678786,0.0274462769268943
2021-05-06,BARC,sd,1,0,0.7787006634669738,0.0248895141077283
2021-05-07,BARC,sd,1,0,0.7930094935274316,0.0233641681576755
2021-05-01,POSE,mean,1,0,10.957255935276534,9.906665154785944
2021-05-02,POSE,mean,1,0,10.969521116759005,9.897956721680655
2021-05-03,POSE,mean,1,0,10.957814958880949,9.912135174306636
2021-05-04,POSE,mean,1,0,10.950720704737138,9.928350597163552
2021-05-05,POSE,mean,1,0,10.932073218101952,9.94273102460094
2021-05-06,POSE,mean,1,0,10.947124977098516,9.946603615250678
2021-05-07,POSE,mean,1,0,10.978259923285236,9.953432999569772
2021-05-01,POSE,sd,1,0,1.5529273787023807,0.2744321605964335
2021-05-02,POSE,sd,1,0,1.5380348397733696,0.2913433763546019
2021-05-03,POSE,sd,1,0,1.5247799852516115,0.2921191793865428
2021-05-04,POSE,sd,1,0,1.5075427718799916,0.2925466322283416
2021-05-05,POSE,sd,1,0,1.493991229194187,0.2944498046270353
2021-05-06,POSE,sd,1,0,1.502868492393108,0.295041781986174
2021-05-07,POSE,sd,1,0,1.4898659613013003,0.2945838764478066
