time,siteID,statistic,forecast,data_assimilation,oxygen,temp
2021-05-01,POSE,mean,1,0,11.515168043570863,10.842592178890287
2021-05-02,POSE,mean,1,0,11.461575769010098,10.92015797338687
2021-05-03,POSE,mean,1,0,11.407692621731526,10.990382004737079
2021-05-04,POSE,mean,1,0,11.320212428517925,11.040713180140395
2021-05-05,POSE,mean,1,0,11.380270813400042,11.020242123742614
2021-05-06,POSE,mean,1,0,11.326243463594816,11.033164164260311
2021-05-07,POSE,mean,1,0,11.349922759622459,11.065312576891559
2021-05-08,POSE,mean,1,0,11.280280631525924,11.039007486343834
2021-05-01,POSE,sd,1,0,0.6991627394491255,0.5030142171568588
2021-05-02,POSE,sd,1,0,0.7988672870064686,0.5664869178775666
2021-05-03,POSE,sd,1,0,0.9026136348257325,0.6165158515469886
2021-05-04,POSE,sd,1,0,0.9465726283233485,0.6428527171895586
2021-05-05,POSE,sd,1,0,0.9405678434050301,0.6697889416086011
2021-05-06,POSE,sd,1,0,0.9446215006396257,0.7020231618253315
2021-05-07,POSE,sd,1,0,0.8918312949672208,0.71233428733248
2021-05-08,POSE,sd,1,0,0.98755766102799,0.6924090417402713
