"","month","day","year","turbidity","groundwaterTempMean","dissolvedOxygen","chlorophyll"
"1",5,1,2021,17.3850763888889,9.79404958677686,9.87788888888887,1.47842361111111
"2",5,2,2021,19.2114513888888,9.82821989528796,9.34967708333336,1.41485069444444
"3",5,3,2021,23.5871076388889,9.8801832460733,8.82942361111108,1.51269444444444
"4",5,4,2021,36.651396318166,9.91915730337079,8.66718304967004,2.15953456061132
"5",5,5,2021,34.8095034722221,9.99052083333333,8.83018055555555,2.02078472222222
"6",5,6,2021,25.0101805555555,10.0472135416667,9.54982291666665,1.50646180555555
"7",5,7,2021,24.8080894485454,10.107265625,9.89112896222323,1.35401215805472
"8",5,9,2021,19.4409375,10.233046875,10.309423611111,1.12559027777777
"9",5,10,2021,23.0848650674663,10.2911458333333,9.62190029985003,1.16616191904048
"10",5,11,2021,20.8149546089386,10.3702666666667,10.0389490223464,1.16509078212291
"11",5,12,2021,20.0866414414414,10.3903475935829,10.1961261261261,1.16664144144144
"12",5,13,2021,20.7166550885724,10.419296875,10.2077700590483,1.49630774574505
"13",5,14,2021,22.1084131944445,10.448828125,10.0735312500001,2.31286111111111
"14",5,15,2021,23.5752430555555,10.4759375,9.89166319444442,4.09611805555556
"15",5,16,2021,25.1558784722223,10.4996875,9.8898506944444,7.27266666666668
"16",5,17,2021,22.5241631944444,10.5210416666667,9.98873263888889,11.8879513888889
"17",5,18,2021,24.9720868055556,10.5414322916667,9.57557638888892,23.9583159722222
"18",5,19,2021,28.6605659722222,10.5621614583333,9.20892708333334,20.8422430555556
"19",5,20,2021,35.9833125,10.5826041666667,9.00299305555553,20.18346875
"20",5,21,2021,30.2291284722223,10.6051302083333,8.84684374999994,32.4561180555555
"21",5,22,2021,29.9520138888889,10.6311979166667,8.76298958333336,13.4889097222222
"22",5,23,2021,29.6780694444445,10.663671875,8.39742013888887,24.8086597222222
"23",5,24,2021,28.20178125,10.702734375,8.33764583333329,32.9514166666667
"24",5,25,2021,21.0910208333334,10.7484114583333,8.83542708333338,46.2694444444445
"25",5,26,2021,23.7354236111111,10.8008854166667,8.17377777777774,64.4917604166667
"26",5,27,2021,22.4121081307627,10.8568902439024,8.0695264040235,33.0473721709975
"27",5,28,2021,23.3792395833333,10.91921875,8.4886597222222,1.30646875
"28",5,29,2021,67.3974965277779,10.9815885416667,9.02717013888888,2.84219791666668
"29",5,30,2021,23.7598368055555,11.0472916666667,9.92867013888891,2.36388541666667
"30",5,31,2021,19.06221875,11.1153645833333,9.81923611111114,3.13923263888889
"31",5,8,2021,21.6015694444444,10.1704427083333,10.1020902777777,1.22604861111111
"32",4,1,2021,32.4818541666666,8.31143229166667,10.5789027777778,-11.5499236111111
"33",4,2,2021,14.06496875,8.35481770833333,11.6763819444445,-12.3164722222222
"34",4,3,2021,14.6212361111112,8.40682291666667,11.7540034722222,-12.4019375
"35",4,4,2021,13.4520625,8.46510416666667,10.8945381944445,-12.3336701388889
"36",4,5,2021,14.6823576388889,8.5133152173913,10.5372604166667,-12.1289722222222
"37",4,6,2021,17.8250034722222,8.55208333333333,9.97838194444446,-11.9889756944444
"38",4,7,2021,18.7809618055555,8.5834725848564,9.62631944444445,-11.9228472222222
"39",4,8,2021,19.9399375000001,8.61033333333333,9.46854861111111,-11.9335590277778
"40",4,9,2021,42.4135932721713,8.65294444444444,9.62981161091889,-11.254183006536
"41",4,10,2021,20.4392395833333,8.69947916666667,9.51890972222222,-11.8779479166667
"42",4,11,2021,56.6709999999999,8.82494791666667,9.1309513888889,-11.1472708333334
"43",4,12,2021,26.3494890510948,8.8362467191601,9.58058046576291,-11.9836774417796
"44",4,13,2021,27.1256056924678,8.89579634464752,9.81723359944465,-12.1040333217633
"45",4,14,2021,24.5933611111111,8.97120418848167,9.83304861111116,-12.0454270833333
"46",4,15,2021,28.6441909722222,9.05688481675393,9.83938541666673,-12.0117465277778
"47",4,16,2021,19.5600347222222,9.13122395833333,10.3398611111111,-10.8455
"48",4,17,2021,18.1988472222222,9.20713541666667,10.4043645833333,-12.3355972222222
"49",4,18,2021,21.1753125,9.28216145833333,10.2831909722222,-12.2957152777778
"50",4,19,2021,19.5321423611111,9.34833333333333,10.0752673611111,-12.2098229166667
"51",4,20,2021,20.0399201388889,9.40622395833333,9.81232291666665,-12.1760625
"52",4,21,2021,21.0306944444444,9.455078125,9.68919444444446,-12.0854965277778
"53",4,22,2021,16.0776129256428,9.49903645833333,10.8034364141765,-12.304489228631
"54",4,23,2021,16.2256215277778,9.542578125,10.7054826388888,-12.2703541666667
"55",4,24,2021,16.8103368055556,9.585078125,10.5332673611111,-12.2092048611111
"56",4,25,2021,31.7852604166667,9.62341145833333,10.1681875000001,-11.7414548611111
"57",4,26,2021,19.0316463626871,9.65565104166667,10.1475113122172,-12.1529028889662
"58",4,27,2021,20.9804791666667,9.68239583333333,9.57148263888891,-12.0625798611111
