time,siteID,statistic,forecast,data_assimilation,oxygen,temperature
2021-06-01,POSE,mean,1,0,9.422112293714287,11.298045042496305
2021-06-02,POSE,mean,1,0,9.295475153537238,11.428291316971386
2021-06-03,POSE,mean,1,0,9.264146374661536,11.690611637516366
2021-06-04,POSE,mean,1,0,9.213338839582786,11.732964796748277
2021-06-05,POSE,mean,1,0,9.087853016753535,11.835913729529263
2021-06-06,POSE,mean,1,0,9.070396325627996,11.953266834906822
2021-06-07,POSE,mean,1,0,9.058690056872486,12.13126083938024
2021-06-01,POSE,sd,1,0,0.3391528820224288,0.35983874292871654
2021-06-02,POSE,sd,1,0,0.39745636159343967,0.4219065736392826
2021-06-03,POSE,sd,1,0,0.41383764086850056,0.4462497670804671
2021-06-04,POSE,sd,1,0,0.3851392703124933,0.37461058319065044
2021-06-05,POSE,sd,1,0,0.3768494302547476,0.43500037698570065
2021-06-06,POSE,sd,1,0,0.41149188010880317,0.37490129955073687
2021-06-07,POSE,sd,1,0,0.36106550183616604,0.37072957097588344
